"Start Time","Wed Nov 23 09:35:09 2011","09:35:08 minus 78 ms","Subject","001","N-back",1

"Presentation Time","Stimulus","N-back","Response Time","Response","Is Correct"
5794,"suite",0,800,"3",1
8204,"pond",0,590,"3",1
10615,"folk",0,571,"3",1
13024,"suite",0,618,"3",1
15433,"boulder",0,537,"3",1
17841,"boulder",1,539,"1",1
20252,"folk",0,679,"3",1
22662,"folk",1,459,"1",1
25072,"wedge",0,582,"3",1
27482,"mineral",0,625,"3",1
29892,"mineral",1,535,"1",1
32300,"suite",0,502,"3",1
34710,"folk",0,804,"3",1
37119,"folk",1,412,"1",1
39527,"suite",0,436,"3",1
41935,"wedge",0,564,"3",1
44344,"pond",0,515,"3",1
46754,"pond",1,522,"1",1
49164,"actress",0,496,"3",1
51573,"actress",1,511,"1",1
53982,"actress",1,582,"1",1
56392,"folk",0,405,"3",1
58802,"folk",1,578,"1",1
61212,"actress",0,671,"3",1
63622,"folk",0,710,"3",1
66031,"wedge",0,517,"3",1
68440,"wedge",1,411,"1",1
70850,"wedge",1,406,"1",1
73258,"pond",0,579,"3",1
75668,"wedge",0,880,"3",1
78078,"dentist",0,678,"3",1
80489,"dentist",1,435,"1",1
82899,"dentist",1,406,"1",1
85308,"boulder",0,448,"3",1
87717,"boulder",1,406,"3",0
90127,"boulder",1,429,"1",1
92536,"mineral",0,516,"3",1
94945,"actress",0,892,"3",1
97354,"dentist",0,635,"3",1
99764,"mineral",0,602,"3",1
102173,"boulder",0,543,"3",1
104582,"mineral",0,510,"3",1
106991,"boulder",0,614,"3",1
109400,"wedge",0,549,"3",1
111810,"mineral",0,548,"3",1
114220,"mineral",1,529,"1",1
116629,"suite",0,464,"3",1
119039,"suite",1,511,"1",1
121447,"dentist",0,607,"3",1
123856,"actress",0,567,"3",1
126265,"dentist",0,548,"3",1
128674,"pond",0,563,"3",1
131086,"wedge",0,519,"3",1
133495,"wedge",1,478,"1",1
135902,"mineral",0,472,"3",1
138313,"mineral",1,1189,"3",0
140722,"suite",0,701,"3",1
143131,"actress",0,563,"3",1
145541,"dentist",0,530,"3",1
147949,"dentist",1,593,"1",1
150359,"folk",0,446,"3",1
152769,"pond",0,709,"3",1
155177,"pond",1,405,"1",1
157587,"pond",1,419,"1",1
159995,"boulder",0,428,"3",1
162405,"actress",0,674,"3",1
164815,"actress",1,561,"1",1
167223,"suite",0,744,"3",1
169633,"suite",1,424,"1",1
172043,"suite",1,423,"1",1
174453,"boulder",0,706,"3",1
176861,"dentist",0,610,"3",1
179272,"pond",0,647,"3",1
181682,"suite",0,589,"3",1
184091,"pond",0,596,"3",1
