"Start Time","Thu Nov 24 11:08:05 2011","11:08:04 minus 93 ms","Subject","001","N-back",1

"Presentation Time","Stimulus","N-back","Response Time","Response","Is Correct"
5175,"suite",0,2405,"<timeout>",1
7584,"pond",0,680,"3",1
9993,"folk",0,527,"3",1
12403,"suite",0,805,"3",1
14813,"boulder",0,610,"3",1
17222,"boulder",1,407,"1",1
19631,"folk",0,490,"3",1
22042,"folk",1,430,"1",1
24451,"wedge",0,423,"3",1
26860,"mineral",0,444,"1",0
29269,"mineral",1,462,"1",1
31678,"suite",0,651,"3",1
34089,"folk",0,463,"3",1
36497,"folk",1,404,"1",1
38905,"suite",0,704,"3",1
41315,"wedge",0,439,"3",1
43725,"pond",0,436,"3",1
46135,"pond",1,418,"1",1
48545,"actress",0,424,"3",1
50955,"actress",1,455,"1",1
53364,"actress",1,692,"1",1
55772,"folk",0,461,"3",1
58181,"folk",1,405,"1",1
60591,"actress",0,665,"3",1
63001,"folk",0,679,"3",1
65410,"wedge",0,464,"3",1
67820,"wedge",1,582,"1",1
70229,"wedge",1,549,"1",1
72638,"pond",0,508,"3",1
75047,"wedge",0,462,"3",1
77457,"dentist",0,441,"3",1
79866,"dentist",1,406,"1",1
82275,"dentist",1,543,"1",1
84685,"boulder",0,573,"3",1
87093,"boulder",1,534,"1",1
89503,"boulder",1,443,"1",1
91913,"mineral",0,458,"3",1
94323,"actress",0,472,"3",1
96733,"dentist",0,597,"3",1
99142,"mineral",0,444,"3",1
101554,"boulder",0,473,"3",1
103964,"mineral",0,455,"3",1
106374,"boulder",0,796,"3",1
108783,"wedge",0,532,"3",1
111193,"mineral",0,443,"3",1
113603,"mineral",1,405,"1",1
116012,"suite",0,455,"3",1
118422,"suite",1,437,"1",1
120832,"dentist",0,778,"3",1
123241,"actress",0,482,"3",1
125650,"dentist",0,704,"3",1
128059,"pond",0,440,"3",1
130467,"wedge",0,424,"3",1
132878,"wedge",1,424,"1",1
135289,"mineral",0,579,"3",1
137699,"mineral",1,405,"1",1
140108,"suite",0,447,"3",1
142518,"actress",0,590,"3",1
144927,"dentist",0,469,"3",1
147337,"dentist",1,406,"1",1
149746,"folk",0,405,"3",1
152155,"pond",0,457,"3",1
154564,"pond",1,425,"1",1
156974,"pond",1,421,"1",1
159383,"boulder",0,541,"3",1
161793,"actress",0,427,"3",1
164202,"actress",1,490,"1",1
166612,"suite",0,405,"3",1
169021,"suite",1,503,"1",1
171430,"suite",1,471,"1",1
173839,"boulder",0,407,"3",1
176249,"dentist",0,452,"3",1
178659,"pond",0,405,"3",1
181068,"suite",0,568,"3",1
183478,"pond",0,405,"3",1
